Breed,Size
Affenpinscher,Small
Beagle,Small
Bedlington Terrier,Small
Bichon Frise,Small
Border Terrier,Small
Carin Terrier,Small
Cavalier King Charles Spaniel,Small
Chihuahua,Small
Chinese Crested Dog,Small
Miniature Dachshund,Small
Dandie Dinmont Terrier,Small
Fox Terrier,Small
German Spitz,Small
Italian Greyhound,Small
King Charles Spaniel,Small
Lakeland Terrier,Small
Lancashire Heeler,Small
Lhaso Apso,Small
Maltese Terrier,Small
Norfolk Terrier,Small
Papillon,Small
Pekingese,Small
Pomeranian,Small
Miniature Poodle,Small
Toy Poodle,Small
Miniature Pinscher,Small
Pug,Small
Miniature Schnauzer,Small
Scottish Terrier,Small
Shetland Sheepdog,Small
Shih Tzu,Small
Tibetan Spaniel,Small
Welsh Terrier,Small
West Highland White Terrier,Small
Yorkshire Terrier,Small
Australian Cattle Dog,Medium
Brittany,Medium
Cocker Spaniel,Medium
Standard Dachshund,Medium
French Bulldog,Medium
Glen of Imaal Terrier,Medium
Irish Terrier,Medium
Kerry Blue Terrier,Medium
Petit Basset Griffon Vendeen,Medium
Puli,Medium
Standard Schnauzer,Medium
Skye Terrier,Medium
Soft Coated Wheaton Terrier,Medium
Staffordshire Bull Terrier,Medium
Tibetan Terrier,Medium
Welsh Corgi,Medium
Welsh Springer Spaniel,Medium
Whippet,Medium
Afghan Hound,Large
Airedale Terrier,Large
Basset Hound,Large
Bearded Collie,Large
Border Collie,Large
Bouvier Des Flandres,Large
Boxer,Large
Briard,Large
Bulldog,Large
Bull Terrier,Large
Chow Chow,Large
Clumber Spaniel,Large
Rough Collie,Large
Smooth Collie,Large
Curly-Coated Retriever,Large
Dalmatian,Large
Doberman,Large
English Setter,Large
English Springer Spaniel,Large
Field Spaniel,Large
Flat-Coated Retriever,Large
Foxhound,Large
German Shepherd Dog,Large
German Short-Haired Pointer,Large
Golden Retriever,Large
Gordon Setter,Large
Greyhound,Large
Hungarian Vizsla,Large
Irish Setter,Large
Irish Water Spaniel,Large
Italian Spinone,Large
Labrador Retriever,Large
Old English Sheepdog,Large
Pointer,Large
Standard Poodle,Large
Portuguese Water Dog,Large
Rhodesian Ridgeback,Large
Saluki,Large
Samoyed,Large
Shar Pei,Large
Siberian Husky,Large
Weimaraner,Large
Alaskan Malamute,Giant
Bloodhound,Giant
Bullmastiff,Giant
Deerhound,Giant
Great Dane,Giant
Irish Wolfhound,Giant
Japanese Akita,Giant
Komondor,Giant
Mastiff,Giant
Neapolitan Mastiff,Giant
Newfoundland,Giant
Otterhound,Giant
Pyrenean Mountain Dog,Giant
Rottweiler,Giant
St. Bernard,Giant
Giant Schnauzer,Giant
