Breed,Size
Affenpinscher,1
Beagle,1
Bedlington Terrier,1
Bichon Frise,1
Border Terrier,1
Carin Terrier,1
Cavalier King Charles Spaniel,1
Chihuahua,1
Chinese Crested Dog,1
Miniature Dachshund,1
Dandie Dinmont Terrier,1
Fox Terrier,1
German Spitz,1
Italian Greyhound,1
King Charles Spaniel,1
Lakeland Terrier,1
Lancashire Heeler,1
Lhaso Apso,1
Maltese Terrier,1
Norfolk Terrier,1
Papillon,1
Pekingese,1
Pomeranian,1
Miniature Poodle,1
Toy Poodle,1
Miniature Pinscher,1
Pug,1
Miniature Schnauzer,1
Scottish Terrier,1
Shetland Sheepdog,1
Shih Tzu,1
Tibetan Spaniel,1
Welsh Terrier,1
West Highland White Terrier,1
Yorkshire Terrier,1
Australian Cattle Dog,2
Brittany,2
Cocker Spaniel,2
Standard Dachshund,2
French Bulldog,2
Glen of Imaal Terrier,2
Irish Terrier,2
Kerry Blue Terrier,2
Petit Basset Griffon Vendeen,2
Puli,2
Standard Schnauzer,2
Skye Terrier,2
Soft Coated Wheaton Terrier,2
Staffordshire Bull Terrier,2
Tibetan Terrier,2
Welsh Corgi,2
Welsh Springer Spaniel,2
Whippet,2
Afghan Hound,3
Airedale Terrier,3
Basset Hound,3
Bearded Collie,3
Border Collie,3
Bouvier Des Flandres,3
Boxer,3
Briard,3
Bulldog,3
Bull Terrier,3
Chow Chow,3
Clumber Spaniel,3
Rough Collie,3
Smooth Collie,3
Curly-Coated Retriever,3
Dalmatian,3
Doberman,3
English Setter,3
English Springer Spaniel,3
Field Spaniel,3
Flat-Coated Retriever,3
Foxhound,3
German Shepherd Dog,3
German Short-Haired Pointer,3
Golden Retriever,3
Gordon Setter,3
Greyhound,3
Hungarian Vizsla,3
Irish Setter,3
Irish Water Spaniel,3
Italian Spinone,3
Labrador Retriever,3
Old English Sheepdog,3
Pointer,3
Standard Poodle,3
Portuguese Water Dog,3
Rhodesian Ridgeback,3
Saluki,3
Samoyed,3
Shar Pei,3
Siberian Husky,3
Weimaraner,3
Alaskan Malamute,4
Bloodhound,4
Bullmastiff,4
Deerhound,4
Great Dane,4
Irish Wolfhound,4
Japanese Akita,4
Komondor,4
Mastiff,4
Neapolitan Mastiff,4
Newfoundland,4
Otterhound,4
Pyrenean Mountain Dog,4
Rottweiler,4
St. Bernard,4
Giant Schnauzer,4
